DATE,AGE,SOCIAL MEDIA USAGE,MAIN SOCIAL MEDIA,CONFIDENCE,photo1,photo2,photo3,photo4,photo5,photo6,photo7,CONSENT
29/12/2025 16:48:33,28,1-3 hours,Instagram,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Right Picture,"Yes, I accept"
29/12/2025 19:41:18,32,3-5 hours,Facebook,3,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
29/12/2025 22:01:37,20,1-3 hours,Instagram,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
29/12/2025 22:12:04,20,5+ hours,Instagram,3,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Right Picture,"Yes, I accept"
29/12/2025 22:12:47,20,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
29/12/2025 22:13:48,24,1-3 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
29/12/2025 22:20:42,59,Less than 1h,Other,1,Real photo,Real photo,AI generated,Real photo,Left Picture,Left Picture,Right Picture,"Yes, I accept"
29/12/2025 23:21:37,26,3-5 hours,Facebook,3,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
29/12/2025 23:49:10,20,3-5 hours,TikTok,3,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
29/12/2025 23:56:58,20,1-3 hours,Instagram,4,AI generated,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
30/12/2025 3:05:35,20,1-3 hours,Instagram,3,AI generated,Real photo,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
30/12/2025 6:16:26,32,1-3 hours,Facebook,2,Real photo,Real photo,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
3/01/2026 1:35:02,45,1-3 hours,Instagram,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Left Picture,Left Picture,"Yes, I accept"
4/01/2026 14:01:42,21,5+ hours,TikTok,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
4/01/2026 14:11:01,21,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Right Picture,"Yes, I accept"
4/01/2026 14:36:07,21,3-5 hours,TikTok,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
4/01/2026 15:41:59,21,3-5 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
4/01/2026 15:47:25,20,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
4/01/2026 16:03:37,20,3-5 hours,TikTok,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
4/01/2026 16:49:57,20,1-3 hours,X (formerly Twitter),2,AI generated,AI generated,Real photo,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
4/01/2026 17:26:48,20,3-5 hours,Instagram,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
5/01/2026 15:58:40,20,3-5 hours,Instagram,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
5/01/2026 20:21:24,19,3-5 hours,TikTok,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
5/01/2026 21:38:53,19,3-5 hours,TikTok,3,Real photo,AI generated,Real photo,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
6/01/2026 17:38:19,55,5+ hours,Other,1,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
